BASE_FILE,FRAME_NO,NEXT_FRAME,FILENAME,BITMAPPTR
SG-042  ,4,5,SG-042P ,150555
SG-042  ,5,6,SG-042Q ,190864
SG-042  ,6,7,SG-042P ,150555
SG-042  ,7,8,SG-042O ,110812
SG-042  ,8,9,SG-042N ,71912
SG-042  ,9,1,SG-042M ,33101
SG-043  ,1,2,SG-043M ,33827
SG-043  ,2,3,SG-043N ,72639
SG-043  ,3,4,SG-043O ,111535
SG-043  ,4,5,SG-043P ,151287
SG-043  ,5,6,SG-043Q ,191589
SG-043  ,6,7,SG-043P ,151287
SG-043  ,7,8,SG-043O ,111535
SG-043  ,8,9,SG-043N ,72639
SG-043  ,9,1,SG-043M ,33827
SG-044  ,1,2,SG-044M ,34519
SG-044  ,2,3,SG-044N ,73324
SG-044  ,3,4,SG-044O ,112221
SG-044  ,4,5,SG-044P ,151978
SG-044  ,5,6,SG-044Q ,192328
SG-044  ,6,7,SG-044P ,151978
SG-044  ,7,8,SG-044O ,112221
SG-044  ,8,9,SG-044N ,73324
SG-044  ,9,1,SG-044M ,34519
SG-045  ,1,2,SG-045M ,35243
SG-045  ,2,3,SG-045N ,74037
SG-045  ,3,4,SG-045O ,112926
SG-045  ,4,5,SG-045P ,152708
SG-045  ,5,6,SG-045Q ,193070
SG-045  ,6,7,SG-045P ,152708
SG-045  ,7,8,SG-045O ,112926
SG-045  ,8,9,SG-045N ,74037
SG-045  ,9,1,SG-045M ,35243
SG-046  ,1,2,SG-046M ,35915
SG-046  ,2,3,SG-046N ,74701
SG-046  ,3,4,SG-046O ,113602
SG-046  ,4,5,SG-046P ,153406
SG-046  ,5,6,SG-046Q ,193776
SG-046  ,6,7,SG-046P ,153406
SG-046  ,7,8,SG-046O ,113602
SG-046  ,8,9,SG-046N ,74701
SG-046  ,9,1,SG-046M ,35915
SG-047  ,1,2,SG-047M ,36576
SG-047  ,2,3,SG-047N ,75347
SG-047  ,3,4,SG-047O ,114260
SG-047  ,4,5,SG-047P ,154091
SG-047  ,5,6,SG-047Q ,194409
SG-047  ,6,7,SG-047P ,154091
SG-047  ,7,8,SG-047O ,114260
SG-047  ,8,9,SG-047N ,75347
SG-047  ,9,1,SG-047M ,36576
SG-048  ,1,2,SG-048M ,37233
SG-048  ,2,3,SG-048N ,75976
SG-048  ,3,4,SG-048O ,114902
SG-048  ,4,5,SG-048P ,154747
SG-048  ,5,6,SG-048Q ,195094
SG-048  ,6,7,SG-048P ,154747
SG-048  ,7,8,SG-048O ,114902
SG-048  ,8,9,SG-048N ,75976
SG-048  ,9,1,SG-048M ,37233
SG-049  ,1,2,SG-049M ,37923
SG-049  ,2,3,SG-049N ,76669
SG-049  ,3,4,SG-049O ,115590
SG-049  ,4,5,SG-049P ,155467
SG-049  ,5,6,SG-049Q ,195833
SG-049  ,6,7,SG-049P ,155467
SG-049  ,7,8,SG-049O ,115590
SG-049  ,8,9,SG-049N ,76669
SG-049  ,9,1,SG-049M ,37923
SG-050  ,1,2,SG-050M ,38625
SG-050  ,2,3,SG-050N ,77364
SG-050  ,3,4,SG-050O ,116289
SG-050  ,4,5,SG-050P ,156175
SG-050  ,5,6,SG-050Q ,196556
SG-050  ,6,7,SG-050P ,156175
SG-050  ,7,8,SG-050O ,116289
SG-050  ,8,9,SG-050N ,77364
SG-050  ,9,1,SG-050M ,38625
SG-051  ,1,2,SG-051M ,198129
SG-051  ,2,3,SG-051N ,203113
SG-051  ,3,4,SG-051O ,206898
SG-051  ,4,5,SG-051P ,211564
SG-051  ,5,6,SG-051Q ,217746
SG-051  ,6,7,SG-051P ,211564
SG-051  ,7,8,SG-051O ,206898
SG-051  ,8,9,SG-051N ,203113
SG-051  ,9,1,SG-051M ,198129
SG-052  ,1,2,SG-052M ,198364
SG-052  ,2,3,SG-052N ,203282
SG-052  ,3,4,SG-052O ,207096
SG-052  ,4,5,SG-052P ,211862
SG-052  ,5,6,SG-052Q ,218025
SG-052  ,6,7,SG-052P ,211862
SG-052  ,7,8,SG-052O ,207096
SG-052  ,8,9,SG-052N ,203282
SG-052  ,9,1,SG-052M ,198364
SG-053  ,1,2,SG-053M ,198596
SG-053  ,2,3,SG-053N ,203452
SG-053  ,3,4,SG-053O ,207312
SG-053  ,4,5,SG-053P ,212124
SG-053  ,5,6,SG-053Q ,218308
SG-053  ,6,7,SG-053P ,212124
SG-053  ,7,8,SG-053O ,207312
SG-053  ,8,9,SG-053N ,203452
SG-053  ,9,1,SG-053M ,198596
SG-054  ,1,2,SG-054M ,198851
SG-054  ,2,3,SG-054N ,203617
SG-054  ,3,4,SG-054O ,207528
SG-054  ,4,5,SG-054P ,212424
SG-054  ,5,6,SG-054Q ,218633
SG-054  ,6,7,SG-054P ,212424
SG-054  ,7,8,SG-054O ,207528
SG-054  ,8,9,SG-054N ,203617
SG-054  ,9,1,SG-054M ,198851
SG-055  ,1,2,SG-055M ,199121
SG-055  ,2,3,SG-055N ,203804
SG-055  ,3,4,SG-055O ,207739
SG-055  ,4,5,SG-055P ,212739
SG-055  ,5,6,SG-055Q ,218938
SG-055  ,6,7,SG-055P ,212739
SG-055  ,7,8,SG-055O ,207739
SG-055  ,8,9,SG-055N ,203804
SG-055  ,9,1,SG-055M ,199121
SG-056  ,1,2,SG-056M ,199280
SG-056  ,2,3,SG-056N ,203903
SG-056  ,3,4,SG-056O ,207863
SG-056  ,4,5,SG-056P ,212932
SG-056  ,5,6,SG-056Q ,219124
SG-056  ,6,7,SG-056P ,212932
SG-056  ,7,8,SG-056O ,207863
SG-056  ,8,9,SG-056N ,203903
SG-056  ,9,1,SG-056M ,199280
SG-057  ,1,2,SG-057M ,199439
SG-057  ,2,3,SG-057N ,204000
SG-057  ,3,4,SG-057O ,207984
SG-057  ,4,5,SG-057P ,213111
SG-057  ,5,6,SG-057Q ,219316
SG-057  ,6,7,SG-057P ,213111
SG-057  ,7,8,SG-057O ,207984
SG-057  ,8,9,SG-057N ,204000
SG-057  ,9,1,SG-057M ,199439
SG-058  ,1,2,SG-058M ,199693
SG-058  ,2,3,SG-058N ,204178
SG-058  ,3,4,SG-058O ,208208
SG-058  ,4,5,SG-058P ,213384
SG-058  ,5,6,SG-058Q ,219633
SG-058  ,6,7,SG-058P ,213384
SG-058  ,7,8,SG-058O ,208208
SG-058  ,8,9,SG-058N ,204178
SG-058  ,9,1,SG-058M ,199693
SG-059  ,1,2,SG-059M ,199951
SG-059  ,2,3,SG-059N ,204367
SG-059  ,3,4,SG-059O ,208424
SG-059  ,4,5,SG-059P ,213686
SG-059  ,5,6,SG-059Q ,219936
SG-059  ,6,7,SG-059P ,213686
SG-059  ,7,8,SG-059O ,208424
SG-059  ,8,9,SG-059N ,204367
SG-059  ,9,1,SG-059M ,199951
SG-060  ,1,2,SG-060M ,200205
SG-060  ,2,3,SG-060N ,204517
SG-060  ,3,4,SG-060O ,208609
SG-060  ,4,5,SG-060P ,213985
SG-060  ,5,6,SG-060Q ,220221
SG-060  ,6,7,SG-060P ,213985
SG-060  ,7,8,SG-060O ,208609
SG-060  ,8,9,SG-060N ,204517
SG-060  ,9,1,SG-060M ,200205
SG-061  ,1,2,SG-061M ,200473
SG-061  ,2,3,SG-061N ,204676
SG-061  ,3,4,SG-061O ,208811
SG-061  ,4,5,SG-061P ,214286
SG-061  ,5,6,SG-061Q ,220528
SG-061  ,6,7,SG-061P ,214286
SG-061  ,7,8,SG-061O ,208811
SG-061  ,8,9,SG-061N ,204676
SG-061  ,9,1,SG-061M ,200473
SG-062  ,1,2,SG-062M ,200652
SG-062  ,2,3,SG-062N ,204805
SG-062  ,3,4,SG-062O ,208966
SG-062  ,4,5,SG-062P ,214461
SG-062  ,5,6,SG-062Q ,220737
SG-062  ,6,7,SG-062P ,214461
SG-062  ,7,8,SG-062O ,208966
SG-062  ,8,9,SG-062N ,204805
SG-062  ,9,1,SG-062M ,200652
SG-063  ,1,2,SG-063M ,200814
SG-063  ,2,3,SG-063N ,204938
SG-063  ,3,4,SG-063O ,209120
SG-063  ,4,5,SG-063P ,214635
SG-063  ,5,6,SG-063Q ,220952
SG-063  ,6,7,SG-063P ,214635
SG-063  ,7,8,SG-063O ,209120
SG-063  ,8,9,SG-063N ,204938
SG-063  ,9,1,SG-063M ,200814
SG-064  ,1,2,SG-064M ,201028
SG-064  ,2,3,SG-064N ,205066
SG-064  ,3,4,SG-064O ,209305
SG-064  ,4,5,SG-064P ,214909
SG-064  ,5,6,SG-064Q ,221194
SG-064  ,6,7,SG-064P ,214909
SG-064  ,7,8,SG-064O ,209305
SG-064  ,8,9,SG-064N ,205066
SG-064  ,9,1,SG-064M ,201028
SG-065  ,1,2,SG-065M ,201240
SG-065  ,2,3,SG-065N ,205210
SG-065  ,3,4,SG-065O ,209467
SG-065  ,4,5,SG-065P ,215188
SG-065  ,5,6,SG-065Q ,221499
SG-065  ,6,7,SG-065P ,215188
SG-065  ,7,8,SG-065O ,209467
SG-065  ,8,9,SG-065N ,205210
SG-065  ,9,1,SG-065M ,201240
SG-066  ,1,2,SG-066M ,201293
SG-066  ,2,3,SG-066N ,205257
SG-066  ,3,4,SG-066O ,209524
SG-066  ,4,5,SG-066P ,215260
SG-066  ,5,6,SG-066Q ,221585
SG-066  ,6,7,SG-066P ,215260
SG-066  ,7,8,SG-066O ,209524
SG-066  ,8,9,SG-066N ,205257
SG-066  ,9,1,SG-066M ,201293
SG-067  ,1,2,SG-067M ,201528
SG-067  ,2,3,SG-067N ,205426
SG-067  ,3,4,SG-067O ,209722
SG-067  ,4,5,SG-067P ,215558
SG-067  ,5,6,SG-067Q ,221864
SG-067  ,6,7,SG-067P ,215558
SG-067  ,7,8,SG-067O ,209722
SG-067  ,8,9,SG-067N ,205426
SG-067  ,9,1,SG-067M ,201528
SG-068  ,1,2,SG-068M ,201797
SG-068  ,2,3,SG-068N ,205607
SG-068  ,3,4,SG-068O ,209930
SG-068  ,4,5,SG-068P ,215877
SG-068  ,5,6,SG-068Q ,222173
SG-068  ,6,7,SG-068P ,215877
SG-068  ,7,8,SG-068O ,209930
SG-068  ,8,9,SG-068N ,205607
SG-068  ,9,1,SG-068M ,201797
SG-069  ,1,2,SG-069M ,202057
SG-069  ,2,3,SG-069N ,205797
SG-069  ,3,4,SG-069O ,210165
SG-069  ,4,5,SG-069P ,216182
SG-069  ,5,6,SG-069Q ,222473
SG-069  ,6,7,SG-069P ,216182
SG-069  ,7,8,SG-069O ,210165
SG-069  ,8,9,SG-069N ,205797
SG-069  ,9,1,SG-069M ,202057
SG-070  ,1,2,SG-070M ,202226
SG-070  ,2,3,SG-070N ,205967
SG-070  ,3,4,SG-070O ,210368
SG-070  ,4,5,SG-070P ,216439
SG-070  ,5,6,SG-070Q ,222751
SG-070  ,6,7,SG-070P ,216439
SG-070  ,7,8,SG-070O ,210368
SG-070  ,8,9,SG-070N ,205967
SG-070  ,9,1,SG-070M ,202226
